,city,state,population,total_food,latitude,longitude,total_scraped
486,Waukesha,Wisconsin,72363,1065,43.0040988076648,-88.23577770646233,1000
487,Rancho Cordova,California,72326,1086,38.595561083741806,-121.27467656623782,1000
488,Gulfport,Mississippi,72076,615,30.428505018368067,-89.06890869140625,614
489,Lafayette,Indiana,71782,459,40.39985613224728,-86.87576293945312,459
490,Lauderhill,Florida,71626,669,26.17217689515923,-80.23501843214036,657
491,Flagstaff,Arizona,71459,393,35.190039911073924,-111.63894653320312,392
492,Wilmington,Delaware,71442,2026,39.770683675,-75.56465148925781,1000
493,Pawtucket,Rhode Island,71427,1605,41.87243615,-71.38071637499999,1000
494,Canton,Ohio,71323,764,40.8317058875658,-81.37334025760802,759
495,Redlands,California,71288,2723,34.04977191751124,-117.18292236328125,1000
496,Lynwood,California,71187,1704,33.944622624999994,-118.200755701086,1000
497,Pittsburg,California,70679,1996,38.039934754499505,-121.87122682695312,999
498,Passaic,New Jersey,70635,1171,40.8602606772461,-74.08055324414062,1000
499,Pasco,Washington,70579,719,46.24426608994971,-119.14535522460938,718
500,Frederick,Maryland,70060,657,39.430844195524486,-77.4027255,655
501,Weston,Florida,70015,839,26.092965328862903,-80.3213624788086,826
502,North Richland Hills,Texas,69798,1294,32.85220968566392,-97.21924553088823,1000
503,Maple Grove,Minnesota,69576,408,45.09871870230876,-93.39157315600586,408
504,Kissimmee,Florida,69369,2787,28.33592816407181,-81.36886596679688,1000
505,Union City,New Jersey,69296,7379,40.76831886602089,-74.02042076316225,1000
506,St. Charles,Missouri,69293,1910,38.79204656650532,-90.51272652523599,1000
507,Walnut Creek,California,69122,3614,37.90082021892063,-122.04643249511719,999
508,South Jordan,Utah,69034,2063,40.56851525768603,-111.94560082808457,1000
509,Muncie,Indiana,69010,210,40.200892387495905,-85.42155466503905,210
510,Cedar Park,Texas,68918,887,30.50281153896348,-97.81883239746094,877
511,Woodbury,Minnesota,68820,316,44.93798525,-92.93746948242188,315
512,Palatine,Illinois,68766,1158,42.1206523,-88.03694962210878,1000
513,Bossier City,Louisiana,68485,837,32.52535270646252,-93.70791716427215,835
514,Dothan,Alabama,68468,393,31.25037989642629,-85.40634155273438,392
515,Mount Vernon,New York,68344,966,40.90130829005001,-73.83379858478605,938
516,Eau Claire,Wisconsin,68339,304,44.841160807348274,-91.49727985,304
517,Yorba Linda,California,68235,8728,33.88804465027151,-117.78599750097656,1000
518,Davis,California,68111,343,38.55003367062035,-121.74053192138672,342
519,Homestead,Florida,67996,1043,25.59623481761527,-80.40537915205078,1000
520,Waterloo,Iowa,67934,251,42.47714991746853,-92.34814351666563,251
521,Redondo Beach,California,67867,3558,33.85472505240305,-118.36005437998047,1000
522,Jacksonville,North Carolina,67784,335,34.7692121408959,-77.40829467773438,335
523,Gaithersburg,Maryland,67776,1221,39.13987639141929,-77.19735005855173,1000
524,Victoria,Texas,67670,201,28.820573641952816,-96.97975158691406,201
525,St. Cloud,Minnesota,67641,278,45.54570491154473,-94.17902710576172,278
526,Marysville,Washington,67626,703,48.09271114218147,-122.17140197753906,698
527,Greenville,South Carolina,67453,1511,34.84757760146957,-82.35763549804688,1000
528,Delray Beach,Florida,67371,1141,26.457962572368487,-80.11333334553507,1000
529,Camarillo,California,67363,1903,34.240377907845314,-119.0367938915215,1000
530,Georgetown,Texas,67140,1164,30.67258922115122,-97.71033035665846,1000
531,Kenner,Louisiana,67089,832,30.008288267700166,-90.22692457758788,821
532,Palo Alto,California,67024,2012,37.43505600945254,-122.14393615722656,1000
533,Jackson,Tennessee,67005,223,35.64944125444835,-88.82240295410156,223
534,South San Francisco,California,66980,22711,37.69304186597523,-122.34649658203125,1000
535,Rockville,Maryland,66940,4670,39.07832976461853,-77.11660243267212,1000
536,Portland,Maine,66937,838,43.66661831770135,-70.2608794170682,834
537,Yuba City,California,66845,342,39.12043620746645,-121.63101196289062,341
538,Johnson City,Tennessee,66677,450,36.356012895900406,-82.38381515,450
539,Daytona Beach,Florida,66645,936,29.20847512480754,-81.02573171591797,925
540,Oshkosh,Wisconsin,66579,219,44.02898526595418,-88.5552978515625,219
541,Broomfield,Colorado,66529,3201,39.91653737501673,-105.07804870605469,1000
542,Eagan,Minnesota,66428,3068,44.8459661286833,-93.17230224609375,1000
543,North Little Rock,Arkansas,66278,1078,34.79402653397026,-92.27515099865786,1000
544,Bayonne,New Jersey,66238,698,40.669884,-74.03283256721191,677
545,Ames,Iowa,66191,191,42.02791660450377,-93.63092246992956,191
546,Mansfield,Texas,65631,2292,32.595874259267845,-97.14042663574219,999
547,Harlingen,Texas,65539,239,26.187165686851124,-97.6931282,239
548,Alpharetta,Georgia,65338,3824,34.07003036414594,-84.2791706166404,1000
549,Laguna Niguel,California,65328,1663,33.541157475460125,-117.69893646240234,1000
550,San Clemente,California,65309,710,33.44779036737299,-117.61585235595703,694
551,Conway,Arkansas,65300,204,35.08900154055215,-92.4386215209961,204
552,Bowling Green,Kentucky,65234,393,36.9727574787684,-86.41983032226562,392
553,Tamarac,Florida,65199,5477,26.20469758925906,-80.21779335706941,1000
554,Shawnee,Kansas,65194,2823,39.0097791565523,-94.72753657130473,1000
